namespace,action,decision,scope
microsoft.directory,microsoft.directory/applications/verification/update,conditional,/
microsoft.directory,microsoft.directory/applicationTemplates/instantiate,notAllowed,/
microsoft.directory,microsoft.directory/appRoleAssignments/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/appRoleAssignments/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/appRoleAssignments/createAsOwner,notAllowed,/
microsoft.directory,microsoft.directory/appRoleAssignments/create,notAllowed,/
microsoft.directory,microsoft.directory/appRoleAssignments/delete,notAllowed,/
microsoft.directory,microsoft.directory/appRoleAssignments/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/attributeSets/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/attributeSets/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/auditLogs/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/authorizationPolicy/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/authorizationPolicy/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/authorizationPolicy/defaultUserRoleOverrides/update,notAllowed,/
microsoft.directory,microsoft.directory/authorizationPolicy/defaultUserRolePermissions/update,notAllowed,/
microsoft.directory,microsoft.directory/authorizationPolicy/guestUserSettings/update,notAllowed,/
microsoft.directory,microsoft.directory/authorizationPolicy/organizationSettings/update,notAllowed,/
microsoft.directory,microsoft.directory/authorizationPolicy/standard/read,allowed,/
microsoft.directory,microsoft.directory/azureManagedIdentities/customSecurityAttributes/read,notAllowed,/
microsoft.directory,microsoft.directory/azureManagedIdentities/customSecurityAttributes/update,notAllowed,/
microsoft.directory,microsoft.directory/b2cTrustFrameworkKeySet/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/b2cTrustFrameworkPolicy/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/b2cUserAttribute/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/b2cUserFlow/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/bitlockerKeys/key/read,notAllowed,/
microsoft.directory,microsoft.directory/bitlockerKeys/metadata/read,notAllowed,/
microsoft.directory,microsoft.directory/bulkJobs.groups/basic/update,notAllowed,/
