namespace,action,decision,scope
microsoft.directory,microsoft.directory/groups/owners/update.add,conditional,/
microsoft.directory,microsoft.directory/groups/owners/update.remove,conditional,/
microsoft.directory,microsoft.directory/groups/owners/update,conditional,/
microsoft.directory,microsoft.directory/groups/owners/update,conditional,/
microsoft.directory,microsoft.directory/groups/pendingMembers/read,notAllowed,/
microsoft.directory,microsoft.directory/groups/pendingMembers/update,notAllowed,/
microsoft.directory,microsoft.directory/groups/pendingMembers/update,notAllowed,/
microsoft.directory,microsoft.directory/groups/reprocessLicenseAssignment,notAllowed,/
microsoft.directory,microsoft.directory/groups/restore,conditional,/
microsoft.directory,microsoft.directory/groups/serviceEndpoints/read,notAllowed,/
microsoft.directory,microsoft.directory/groups/serviceEndpoints/update,notAllowed,/
microsoft.directory,microsoft.directory/groups/settings/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/groups/settings/read,notAllowed,/
microsoft.directory,microsoft.directory/groups/settings/update,conditional,/
microsoft.directory,microsoft.directory/groups/settings/update,conditional,/
microsoft.directory,microsoft.directory/groups/settings/update,conditional,/
microsoft.directory,microsoft.directory/groups/standard/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/groups/standard/read,allowed,/
microsoft.directory,microsoft.directory/groups/visibility/update,conditional,/
microsoft.directory,microsoft.directory/hybridAuthenticationPolicy/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/hybridAuthenticationPolicy/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/identityProtection/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/identityProtection/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/identityProtection/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/identityProviders/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/lifecycleWorkflows/workflows/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/lifecycleWorkflows/workflows/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/loginOrganizationBranding/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/loginOrganizationBranding/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/multiTenantOrganization/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/multiTenantOrganization/create,notAllowed,/
microsoft.directory,microsoft.directory/multiTenantOrganization/joinRequest/organizationDetails/update,notAllowed,/
microsoft.directory,microsoft.directory/multiTenantOrganization/joinRequest/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/multiTenantOrganization/standard/read,allowed,/
microsoft.directory,microsoft.directory/multiTenantOrganization/tenants/create,notAllowed,/
microsoft.directory,microsoft.directory/multiTenantOrganization/tenants/delete,notAllowed,/
microsoft.directory,microsoft.directory/multiTenantOrganization/tenants/organizationDetails/read,notAllowed,/
microsoft.directory,microsoft.directory/multiTenantOrganization/tenants/organizationDetails/update,notAllowed,/
microsoft.directory,microsoft.directory/multiTenantOrganization/tenants/standard/read,allowed,/
microsoft.directory,microsoft.directory/namedLocations/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/namedLocations/create,notAllowed,/
microsoft.directory,microsoft.directory/namedLocations/delete,notAllowed,/
microsoft.directory,microsoft.directory/namedLocations/standard/read,allowed,/
microsoft.directory,microsoft.directory/oAuth2PermissionGrants/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/oAuth2PermissionGrants/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/oAuth2PermissionGrants/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/oAuth2PermissionGrants/createAsOwner,notAllowed,/
microsoft.directory,microsoft.directory/oAuth2PermissionGrants/create,notAllowed,/
microsoft.directory,microsoft.directory/oAuth2PermissionGrants/delete,notAllowed,/
microsoft.directory,microsoft.directory/oAuth2PermissionGrants/standard/read,allowed,/
microsoft.directory,microsoft.directory/onPremisesSynchronization/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/onPremisesSynchronization/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/organization/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/organization/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/organization/basicProfile/read,notAllowed,/
microsoft.directory,microsoft.directory/organization/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/organization/dirSync/update,notAllowed,/
microsoft.directory,microsoft.directory/organization/standard/read,allowed,/
microsoft.directory,microsoft.directory/organization/strongAuthentication/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/organization/strongAuthentication/read,notAllowed,/
microsoft.directory,microsoft.directory/organization/trustedCAsForPasswordlessAuth/read,notAllowed,/
microsoft.directory,microsoft.directory/organization/trustedCAsForPasswordlessAuth/update,notAllowed,/
microsoft.directory,microsoft.directory/passThroughAuthentication/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/passwordHashSync/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/pendingExternalUserProfiles/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/pendingExternalUserProfiles/create,notAllowed,/
microsoft.directory,microsoft.directory/pendingExternalUserProfiles/delete,notAllowed,/
microsoft.directory,microsoft.directory/pendingExternalUserProfiles/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/permissionGrantPolicies/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/permissionGrantPolicies/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/permissionGrantPolicies/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/permissionGrantPolicies/create,notAllowed,/
microsoft.directory,microsoft.directory/permissionGrantPolicies/delete,notAllowed,/
microsoft.directory,microsoft.directory/permissionGrantPolicies/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/policies/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/policies/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/policies/basic/update,conditional,/
microsoft.directory,microsoft.directory/policies/create,notAllowed,/
microsoft.directory,microsoft.directory/policies/delete,conditional,/
microsoft.directory,microsoft.directory/policies/owners/read,allowed,/
microsoft.directory,microsoft.directory/policies/owners/update,conditional,/
microsoft.directory,microsoft.directory/policies/owners/update,conditional,/
microsoft.directory,microsoft.directory/policies/policyAppliedTo/read,allowed,/
microsoft.directory,microsoft.directory/policies/standard/read,allowed,/
microsoft.directory,microsoft.directory/policies/tenantDefault/update,notAllowed,/
microsoft.directory,microsoft.directory/privilegedIdentityManagement/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/privilegedIdentityManagement/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/provisioningLogs/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/resourceNamespaces/resourceActions/authenticationContext/update,notAllowed,/
microsoft.directory,microsoft.directory/resourceNamespaces/resourceActions/authenticationContext/update,notAllowed,/
microsoft.directory,microsoft.directory/resourceNamespaces/resourceActions/authenticationContext/update,notAllowed,/
microsoft.directory,microsoft.directory/roleAssignments/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/roleAssignments/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/roleAssignments/standard/read,allowed,/
microsoft.directory,microsoft.directory/roleDefinitions/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/roleDefinitions/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/roleDefinitions/standard/read,allowed,/
microsoft.directory,microsoft.directory/scopedRoleMemberships/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/scopedRoleMemberships/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/seamlessSso/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/serviceAction/activateService,notAllowed,/
microsoft.directory,microsoft.directory/serviceAction/disableDirectoryFeature,notAllowed,/
microsoft.directory,microsoft.directory/serviceAction/enableDirectoryFeature,notAllowed,/
microsoft.directory,microsoft.directory/serviceAction/getAvailableExtentionProperties,notAllowed,/
microsoft.directory,microsoft.directory/serviceAction/grantResourceSpecificConsent,notAllowed,/
microsoft.directory,microsoft.directory/serviceAction/revokeResourceSpecificConsent,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipalCreationPolicies/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/servicePrincipalCreationPolicies/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/servicePrincipalCreationPolicies/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipalCreationPolicies/create,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipalCreationPolicies/delete,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipalCreationPolicies/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/servicePrincipals/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/servicePrincipals/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/servicePrincipals/appRoleAssignedTo/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/appRoleAssignedTo/read,allowed,/
microsoft.directory,microsoft.directory/servicePrincipals/appRoleAssignedTo/update,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/appRoleAssignedTo/update,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/appRoleAssignments/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/appRoleAssignments/read,allowed,/
microsoft.directory,microsoft.directory/servicePrincipals/audience/update,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/authentication/read,allowed,/
microsoft.directory,microsoft.directory/servicePrincipals/authentication/update,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/basic/update,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/createAsOwner,allowed,/
microsoft.directory,microsoft.directory/servicePrincipals/create,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/credentials/update,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/customSecurityAttributes/read,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/customSecurityAttributes/update,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/delete,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/disable,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/enable,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/getPasswordSingleSignOnCredentials,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/managePasswordSingleSignOnCredentials,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-all-application-permissions,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-all-application-permissions-verified,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-application-admin,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-application-admin,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-company-admin,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-company-admin,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-user-default-legacy,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-user-default-low,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForAll.microsoft-user-default-recommended,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForOwnedResource.microsoft-all-application-permissions-for-chat,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForOwnedResource.microsoft-all-application-permissions-for-team,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForOwnedResource.microsoft-dynamically-managed-permissions-for-chat,allowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForOwnedResource.microsoft-dynamically-managed-permissions-for-team,allowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForOwnedResource.microsoft-pre-approval-apps-for-chat,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForOwnedResource.microsoft-pre-approval-apps-for-team,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForResource.microsoft-all-application-permissions-for-chat,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForResource.microsoft-all-application-permissions-for-team,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForResource.microsoft-dynamically-managed-permissions-for-chat,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForResource.microsoft-dynamically-managed-permissions-for-team,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForResource.microsoft-pre-approval-apps-for-chat,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForResource.microsoft-pre-approval-apps-for-team,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForSelf.microsoft-all-application-permissions,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForSelf.microsoft-all-application-permissions-verified,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForSelf.microsoft-application-admin,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForSelf.microsoft-company-admin,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForSelf.microsoft-user-default-legacy,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForSelf.microsoft-user-default-low,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/managePermissionGrantsForSelf.microsoft-user-default-recommended,allowed,/
microsoft.directory,microsoft.directory/servicePrincipals/memberOf/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/memberOf/read,allowed,/
microsoft.directory,microsoft.directory/servicePrincipals/notes/update,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/oAuth2PermissionGrants/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/oAuth2PermissionGrants/read,allowed,/
microsoft.directory,microsoft.directory/servicePrincipals/ownedObjects/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/ownedObjects/read,allowed,/
microsoft.directory,microsoft.directory/servicePrincipals/owners/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/owners/read,allowed,/
microsoft.directory,microsoft.directory/servicePrincipals/owners/update,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/owners/update,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/permissions/update,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/policies/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/policies/read,allowed,/
microsoft.directory,microsoft.directory/servicePrincipals/policies/update,conditional,/
microsoft.directory,microsoft.directory/servicePrincipals/standard/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/standard/read,allowed,/
microsoft.directory,microsoft.directory/servicePrincipals/synchronization.cloudTenantToCloudTenant/credentials/manage,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/synchronization.cloudTenantToCloudTenant/jobs/manage,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/synchronization.cloudTenantToCloudTenant/schema/manage,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/credentials/manage,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/jobs/manage,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/synchronization.cloudTenantToExternalSystem/schema/manage,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/synchronization.customSecurityAttributes/schema/read,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/synchronization.customSecurityAttributes/schema/update,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/synchronizationCredentials/manage,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/synchronizationJobs/manage,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/synchronizationSchema/manage,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/synchronization/standard/read,notAllowed,/
microsoft.directory,microsoft.directory/servicePrincipals/tag/update,conditional,/
microsoft.directory,microsoft.directory/signInReports/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/subscribedSkus/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/subscribedSkus/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/subscribedSkus/standard/read,allowed,/
microsoft.directory,microsoft.directory/tenantManagement/tenants/create,allowed,/
microsoft.directory,microsoft.directory/userCredentialPolicies/basic/update,conditional,/
microsoft.directory,microsoft.directory/userCredentialPolicies/create,notAllowed,/
microsoft.directory,microsoft.directory/userCredentialPolicies/delete,conditional,/
microsoft.directory,microsoft.directory/userCredentialPolicies/owners/read,allowed,/
microsoft.directory,microsoft.directory/userCredentialPolicies/owners/update,conditional,/
microsoft.directory,microsoft.directory/userCredentialPolicies/owners/update,conditional,/
microsoft.directory,microsoft.directory/userCredentialPolicies/policyAppliedTo/read,allowed,/
microsoft.directory,microsoft.directory/userCredentialPolicies/standard/read,allowed,/
microsoft.directory,microsoft.directory/userCredentialPolicies/tenantDefault/update,notAllowed,/
microsoft.directory,microsoft.directory/userInfos/address/read,conditional,/
microsoft.directory,microsoft.directory/userInfos/email/read,conditional,/
microsoft.directory,microsoft.directory/userInfos/openId/read,conditional,/
microsoft.directory,microsoft.directory/userInfos/phone/read,conditional,/
microsoft.directory,microsoft.directory/userInfos/profile/read,conditional,/
microsoft.directory,microsoft.directory/users/activateServicePlan,allowed,/
microsoft.directory,microsoft.directory/users/allProperties/allTasks,invalidAction,/
microsoft.directory,microsoft.directory/users/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/users/appRoleAssignments/read,allowed,/
microsoft.directory,microsoft.directory/users/appRoleAssignments/update,notAllowed,/
microsoft.directory,microsoft.directory/users/assignLicense,notAllowed,/
microsoft.directory,microsoft.directory/users/authenticationMethods.email/basic/update,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.email/create,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.email/delete,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.email/standard/read,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.email/standard/restrictedRead,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.fido2/basic/update,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.fido2/create,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.fido2/delete,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.fido2/standard/read,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.fido2/standard/restrictedRead,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.microsoftAuthenticator/basic/update,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.microsoftAuthenticator/create,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.microsoftAuthenticator/delete,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.microsoftAuthenticator/standard/read,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.microsoftAuthenticator/standard/restrictedRead,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.password/basic/update,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.password/create,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.password/delete,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.passwordlessMicrosoftAuthenticator/basic/update,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.passwordlessMicrosoftAuthenticator/create,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.passwordlessMicrosoftAuthenticator/delete,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.passwordlessMicrosoftAuthenticator/standard/read,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.passwordlessMicrosoftAuthenticator/standard/restrictedRead,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.password/standard/read,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.password/standard/restrictedRead,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.securityQuestion/basic/update,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.securityQuestion/create,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.securityQuestion/delete,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.securityQuestion/standard/read,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.securityQuestion/standard/restrictedRead,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.sms/basic/update,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.sms/create,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.sms/delete,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.sms/standard/read,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.sms/standard/restrictedRead,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.softwareOath/basic/update,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.softwareOath/create,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.softwareOath/delete,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.softwareOath/standard/read,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.softwareOath/standard/restrictedRead,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.temporaryAccessPass/basic/update,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.temporaryAccessPass/create,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.temporaryAccessPass/delete,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.temporaryAccessPass/standard/read,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.temporaryAccessPass/standard/restrictedRead,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.voice/basic/update,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.voice/create,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.voice/delete,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.voice/standard/read,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods.voice/standard/restrictedRead,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods/basic/update,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods/create,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods/delete,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods/standard/read,conditional,/
microsoft.directory,microsoft.directory/users/authenticationMethods/standard/restrictedRead,conditional,/
microsoft.directory,microsoft.directory/users/authorizationInfo/update,notAllowed,/
microsoft.directory,microsoft.directory/users/basicProfile/read,notAllowed,/
microsoft.directory,microsoft.directory/users/basicProfile/update,conditional,/
microsoft.directory,microsoft.directory/users/basic/update,notAllowed,/
microsoft.directory,microsoft.directory/users/changePassword,conditional,/
microsoft.directory,microsoft.directory/users/contactInfo/update,notAllowed,/
microsoft.directory,microsoft.directory/users/contactProfile/update,notAllowed,/
microsoft.directory,microsoft.directory/users/convertExternalToInternalMemberUser,notAllowed,/
microsoft.directory,microsoft.directory/users/create,notAllowed,/
microsoft.directory,microsoft.directory/users/customSecurityAttributes/read,notAllowed,/
microsoft.directory,microsoft.directory/users/customSecurityAttributes/update,notAllowed,/
microsoft.directory,microsoft.directory/users/delete,notAllowed,/
microsoft.directory,microsoft.directory/users/deviceForResourceAccount/read,allowed,/
microsoft.directory,microsoft.directory/users/directReports/read,allowed,/
microsoft.directory,microsoft.directory/users/disable,notAllowed,/
microsoft.directory,microsoft.directory/users/eligibleMemberOf/read,notAllowed,/
microsoft.directory,microsoft.directory/users/enable,notAllowed,/
microsoft.directory,microsoft.directory/users/extensionProperties/update,notAllowed,/
microsoft.directory,microsoft.directory/users/extensionProperties/update,notAllowed,/
microsoft.directory,microsoft.directory/users/guestBasicProfile/limitedRead,notAllowed,/
microsoft.directory,microsoft.directory/users/identities/read,notAllowed,/
microsoft.directory,microsoft.directory/users/identities/update,conditional,/
microsoft.directory,microsoft.directory/users/invalidateAllRefreshTokens,conditional,/
microsoft.directory,microsoft.directory/users/invitedBy/read,notAllowed,/
microsoft.directory,microsoft.directory/users/inviteGuest,allowed,/
microsoft.directory,microsoft.directory/users/jobInfo/update,notAllowed,/
microsoft.directory,microsoft.directory/users/licenseDetails/read,allowed,/
microsoft.directory,microsoft.directory/users/lifeCycleInfo/read,notAllowed,/
microsoft.directory,microsoft.directory/users/mail/read,notAllowed,/
microsoft.directory,microsoft.directory/users/manager/read,allowed,/
microsoft.directory,microsoft.directory/users/manager/update,notAllowed,/
microsoft.directory,microsoft.directory/users/memberOf/read,allowed,/
microsoft.directory,microsoft.directory/users/mobile/update,conditional,/
microsoft.directory,microsoft.directory/users/oAuth2PermissionGrants/read,allowed,/
microsoft.directory,microsoft.directory/users/ownedDevices/read,allowed,/
microsoft.directory,microsoft.directory/users/ownedObjects/read,allowed,/
microsoft.directory,microsoft.directory/users/parentalControls/update,notAllowed,/
microsoft.directory,microsoft.directory/users/passwordPolicies/update,notAllowed,/
microsoft.directory,microsoft.directory/users/password/update,notAllowed,/
microsoft.directory,microsoft.directory/users/pendingMemberOf/read,notAllowed,/
microsoft.directory,microsoft.directory/users/photo/read,allowed,/
microsoft.directory,microsoft.directory/users/photo/update,notAllowed,/
microsoft.directory,microsoft.directory/users/preferredDataLocation/update,notAllowed,/
microsoft.directory,microsoft.directory/users/registeredDevices/read,allowed,/
microsoft.directory,microsoft.directory/users/reprocessLicenseAssignment,notAllowed,/
microsoft.directory,microsoft.directory/users/restore,notAllowed,/
microsoft.directory,microsoft.directory/users/scopedRoleMemberOf/read,allowed,/
microsoft.directory,microsoft.directory/users/searchableDeviceKey/update,conditional,/
microsoft.directory,microsoft.directory/users/sponsors/read,allowed,/
microsoft.directory,microsoft.directory/users/sponsors/update,notAllowed,/
microsoft.directory,microsoft.directory/users/sponsors/update,notAllowed,/
microsoft.directory,microsoft.directory/users/standard/read,allowed,/
microsoft.directory,microsoft.directory/users/strongAuthentication/read,notAllowed,/
microsoft.directory,microsoft.directory/users/strongAuthentication/update,notAllowed,/
microsoft.directory,microsoft.directory/users/usageLocation/update,notAllowed,/
microsoft.directory,microsoft.directory/users/userPrincipalName/read,notAllowed,/
microsoft.directory,microsoft.directory/users/userPrincipalName/update,notAllowed,/
microsoft.directory,microsoft.directory/users/userType/update,notAllowed,/
microsoft.directory,microsoft.directory/verifiableCredentials/configuration/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/verifiableCredentials/configuration/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/verifiableCredentials/configuration/contracts/allProperties/update,invalidAction,/
microsoft.directory,microsoft.directory/verifiableCredentials/configuration/contracts/cards/allProperties/read,invalidAction,/
microsoft.directory,microsoft.directory/verifiableCredentials/configuration/contracts/cards/revoke,notAllowed,/
microsoft.directory,microsoft.directory/verifiableCredentials/configuration/contracts/create,notAllowed,/
microsoft.directory,microsoft.directory/verifiableCredentials/configuration/create,notAllowed,/
microsoft.directory,microsoft.directory/verifiableCredentials/configuration/delete,notAllowed,/
microsoft.agentRegistry,microsoft.agentRegistry/allEntities/allProperties/allTasks,invalidAction,/
microsoft.agentRegistry,microsoft.agentRegistry/allEntities/allProperties/read,invalidAction,/
